"name","builds","builds_from","source_description","website","website_identity","website_looked_for","entity_type","founders","founders_source","dpiit_status","dpiit_stage","contact_email","contact_page","domain_registered","web_first_capture","build_tags","domain_tags","public_programmes","programme_count","publishing_organisations","hiring_roles","team_page","site_versions_2y","parked_homepage","papers_found","city","state","rdi_sector","rdi_subsector","rdi_project","placed_from","classifier_reasoning","tier","public_traces","on_record","on_record_basis","started","in_database","signals","page"
"ai.ezer Technologies",,"","Startup India profile, not DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Scaling.",,,"no","unverified",,"","profile","Scaling","","","","","","","","0","0","","","","","0","South Delhi","Delhi","2","Intelligent Systems & Robotics",,"register-label","ai.ezer Technologies is a robotics startup, and subsector 2.7 covers intelligent systems and robotics including modular robotic platforms as a core project type.","C","1","2025-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/ai-ezer-technologies"
"Oxobot Robotics Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Application. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","Raigad","Maharashtra","2","Intelligent Systems & Robotics",,"register-label","OXOBOT Robotics develops robotic platforms as a prototype-stage startup, which aligns with the modular robotic platforms project type under Intelligent Systems & Robotics.","C","1","2025-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/oxobot-robotics"
"Aquaforge Robotics Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","Tenkasi","Tamil Nadu","2","Intelligent Systems & Robotics",,"register-label","AquaForge Robotics develops robotic systems that align with modular robotic platform development within the Intelligent Systems & Robotics subsector.","C","1","2025-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/aquaforge-robotics"
"Gwolts Transformers Private Limited",,"","DPIIT recognised. Industry: Technology Hardware. Sector: Semiconductor. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","","Vadodara","Gujarat","2","Semiconductors & Electronics",,"register-label","GWOLTS TRANSFORMERS is a semiconductor technology hardware company working on prototypes, which aligns with chip design and advanced node fabrication activities under the Semiconductors & Electronics sub-sector.","C","1","2025-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/gwolts-transformers"
"Ylectric Technology Private Limited",,"","DPIIT recognised. Industry: Technology Hardware. Sector: Semiconductor. Stage: EarlyTraction.",,,"no","company",,"","recognised","EarlyTraction","","","","","","","DPIIT recognition","1","1","","","","","0","Bengaluru","Karnataka","2","Semiconductors & Electronics",,"register-label","Ylectric Technology is a semiconductor hardware startup that fits within chip design and advanced node fabrication under the Semiconductors & Electronics sub-sector.","C","1","2025-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/ylectric-technology"
"Texabyte (OPC) Private Limited",,"","DPIIT recognised. Industry: Technology Hardware. Sector: Semiconductor. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","Tirupati","Andhra Pradesh","2","Semiconductors & Electronics",,"register-label","TEXABYTE is a semiconductor technology hardware startup at the validation stage, which directly aligns with chip design and advanced node fabrication under the Semiconductors & Electronics sub-sector.","C","1","2025-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/texabyte-opc"
"GenZ Materials Pvt Ltd",,"","To develop and commercialize sustainable technologies for the next generation of materials, chemicals, food supplements, neutraceuticals, synthetic plant and protein based meats, focusing on innovation, efficiency, and environmental responsibility.",,,"yes","company","Prof. Anil Kumar, Jyotsna Maurya","sine-iitb",,,"","","","","biological or chemical","agriculture & food","incubation at SINE, IIT Bombay","1","1","","","","","0",,,"4","Synthetic Biology & Industrial Biotech","Synthetic biology solutions for sustainable fuels, chemicals and materials","description","GenZ Materials develops sustainable technologies for next-generation materials and chemicals through biotech innovation, which aligns with synthetic biology's focus on engineering biological systems to produce novel chemicals and materials sustainably.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/genz-materials"
"FloraFarad Energy Private Limited",,"","FloraFarad works towards sustainability by using floral waste to innovate energy storage system which can be applicable for EV, electronics and power sectors and can replace hazardous, toxic and costly lithium batteries.",,,"yes","company","Dr. Neetu Jha, Supernit Shinde","sine-iitb",,,"","","","","hardware","energy; mobility; water & environment","incubation at SINE, IIT Bombay","1","1","","","","","0",,,"1","Energy Storage","Innovative battery chemistries (lithium-ion, sodium-ion, solid-state)","description","FloraFarad's floral waste-based energy storage system represents an innovative battery chemistry alternative designed to replace conventional lithium batteries across EV, electronics, and power sectors.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/florafarad-energy"
"Easescan Medtech Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","1",,,"4","Medical Devices & Diagnostics",,"register-label","Easescan Medtech, as a BIRAC-funded medical device company, most likely develops diagnostic or imaging technologies, aligning with 4.5's focus on innovative medical devices and diagnostics.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/easescan-medtech"
"Exquinz Life Sciences Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Pharmaceuticals & Drug Development",,"register-label","Exquinz received a BIRAC Biotechnology Ignition Grant in the Drugs and related areas category, indicating work in pharmaceutical research and development that aligns with early-stage drug development activities.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/exquinz-life-sciences"
"FOOTRYX Healthcare Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","2",,,"4","Medical Devices & Diagnostics",,"register-label","FOOTRYX is a medical device company, and 4.5 covers the full range of medical devices including wearables and biosensors which are typical for a healthcare device startup.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/footryx-healthcare"
"ImmunitasBio Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","ImmunitasBio is a BIRAC Biotechnology Ignition Grant awardee in the diagnostics category, which aligns directly with the indigenous diagnostic kits project type focused on developing point-of-care and rapid diagnostic solutions.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/immunitasbio"
"Inte-Elabs Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Pharmaceuticals & Drug Development",,"register-label","As a BIRAC awardee in the 'Drugs and related areas' category, Inte-Elabs is conducting pharmaceutical research and development work that aligns with pre-clinical and clinical drug development activities.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/inte-elabs"
"Marche Healthcare Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","2",,,"4","Medical Devices & Diagnostics",,"register-label","Marche Healthcare's BIRAC Medical Devices award indicates development of health monitoring or biosensing technologies that align with wearable and implantable device categories under Medical Devices & Diagnostics.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/marche-healthcare"
"Satavic Innovations Pvt. Ltd.",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Pharmaceuticals & Drug Development",,"register-label","Satavic Innovations received a BIRAC Biotechnology Ignition Grant in the Drugs and related areas category, indicating their work in pharmaceutical research and development aligns with pre-clinical or clinical drug development activities.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/satavic-innovations"
"Taurmed Technologies Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","4",,,"4","Medical Devices & Diagnostics",,"register-label","Taurmed's BIRAC Biotechnology Ignition Grant award in the diagnostics category aligns with developing indigenous diagnostic solutions, likely point-of-care or rapid testing kits for clinical applications.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/taurmed-technologies"
"Tvaster Genkalp Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","1",,,"4","Medical Devices & Diagnostics",,"register-label","As a BIRAC Biotechnology Ignition Grant awardee in the diagnostics category, Tvaster Genkalp aligns with the development of indigenous diagnostic solutions, most likely point-of-care or rapid testing platforms.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/tvaster-genkalp"
"Unicas Biotech Pvt Ltd",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","1",,,"4","Pharmaceuticals & Drug Development",,"register-label","BIRAC Ignition Grant awardee in the drugs category indicates early-stage pharmaceutical R&D work aligned with drug development","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/unicas-biotech"
"Vaxigen International Research Centre Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Pharmaceuticals & Drug Development",,"register-label","Vaxigen is a vaccine research centre, and their BIRAC award in the 'Drugs and related areas' category aligns with next-generation vaccine development, which is a core project type under the Pharmaceuticals & Drug Development sub-sector.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/vaxigen-international-research-centre"
"YRR Edutech Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","",,,"4","Medical Devices & Diagnostics",,"register-label","YRR Edutech is a BIRAC-supported medical devices company, and while their specific focus is not detailed, the AI/ML-powered diagnostic category best aligns with typical deep-tech medical device innovation in India's biotechnology landscape.","C","1","2024-01-01","cohort","2024","2026-09-12","1","https://rohitrao.in/upstream/c/yrr-edutech"
"Meerkats Nanotherm Innovations Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","Bengaluru","Karnataka","2","Advanced Materials",,"register-label","Meerkats Nanotherm's nanotechnology work at prototype stage aligns with the advanced materials focus on nanomaterials and their applications, likely in thermal or water treatment applications given the company name.","C","1","2024-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/meerkats-nanotherm-innovations"
"Strider Robotics Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","Bengaluru","Karnataka","2","Intelligent Systems & Robotics",,"register-label","Strider Robotics develops robotics technology that falls directly under Intelligent Systems & Robotics, with modular robotic platforms being the closest match to their core focus as a robotics-stage startup.","C","1","2024-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/strider-robotics"
"Picraft-Technology Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Application. Stage: EarlyTraction.",,,"no","company",,"","recognised","EarlyTraction","","","","","","","DPIIT recognition","1","1","","","","","0","East Singhbhum","Jharkhand","2","Intelligent Systems & Robotics",,"register-label","PICRAFT is a robotics startup; sub-sector 2.7 covers intelligent systems and robotics, and modular robotic platforms is the foundational project type for general robotics applications.","C","1","2024-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/picraft-technology"
"Blue Heart Robotics Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","","North West Delhi","Delhi","2","Intelligent Systems & Robotics",,"register-label","Blue Heart Robotics is a robotics technology startup, and sub-sector 2.7 covers intelligent systems and robotics including modular robotic platforms as a core project type.","C","1","2024-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/blue-heart-robotics"
"Fubotics Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","Bengaluru","Karnataka","2","Intelligent Systems & Robotics",,"register-label","Fubotics is a robotics technology startup at prototype stage, and modular robotic platforms are the primary category in sub-sector 2.7 that encompasses general-purpose robotic systems development.","C","1","2024-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/fubotics"
"Hughen Tech Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","Pune","Maharashtra","2","Intelligent Systems & Robotics",,"register-label","HUGHEN TECH is a robotics startup working on robotics technology, which aligns with sub-sector 2.7 Intelligent Systems & Robotics, and modular robotic platforms is the broadest project type under that sub-sector covering general robotics development.","C","1","2024-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/hughen-tech"
"Pro-Virtual Technology Automations Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Scaling.",,,"no","company",,"","recognised","Scaling","","","","","","","DPIIT recognition","1","1","","","","","0","Madurai","Tamil Nadu","2","Intelligent Systems & Robotics",,"register-label","Pro-Virtual Technology Automations is a robotics startup focused on scalable robotic systems, which aligns with modular robotic platforms under the Intelligent Systems & Robotics sub-sector.","C","1","2024-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/pro-virtual-technology-automations"
"Bumblebee Instruments Private Limited",,"","DPIIT recognised. Industry: Technology Hardware. Sector: Semiconductor. Stage: EarlyTraction.",,,"no","company",,"","recognised","EarlyTraction","","","","","","","DPIIT recognition","1","1","","","","","","Palakkad","Kerala","2","Semiconductors & Electronics",,"register-label","Bumblebee Instruments is a semiconductor technology hardware startup, placing it directly within the Semiconductors & Electronics sub-sector's focus on chip design and fabrication capabilities.","C","1","2024-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/bumblebee-instruments"
"Kore Additive Manufacturing And Medical Reconstruction Pvt Ltd",,"","Marine derived biomaterials, Type 0 collagen from Jellyfish, high molecular weight Alginate from Brown algae, chitosan from oyster shells and hydroxyapatite from fish bones. These biomaterials will be used to make novel bioinks for 3DBioprinting`","https://koreammr.com/","verified","yes","company","Chaitanya Doshi & Ravindra Doshi","sine-iitb",,,"info@koreammr.com","https://koreammr.com/contact","2022-09-19",,"biological or chemical","","incubation at SINE, IIT Bombay","1","1","","","","","1",,,"4","Advanced Biomaterials & Regenerative Medicine","Advanced 3D bioprinting and biofabrication technologies","description","Kore develops marine-derived biomaterials specifically engineered as bioinks for 3D bioprinting applications, directly aligning with advanced biofabrication technology development.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/kore-additive-manufacturing-and-medical-reconstruction"
"Amdus Technologies Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","Amdus Technologies is a BIRAC-funded diagnostics company, and indigenous diagnostic kits for point-of-care testing are the primary diagnostic project type within the Medical Devices & Diagnostics sub-sector.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/amdus-technologies"
"Atre Healthtech Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","Atre Healthtech's BIRAC Biotechnology Ignition Grant award in the Diagnostics category aligns with developing indigenous diagnostic solutions, likely point-of-care or rapid testing kits for healthcare applications.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/atre-healthtech"
"FeetWings Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","FeetWings, as a BIRAC Medical Devices awardee, most likely develops prosthetic or rehabilitation solutions, aligning with the smart prosthetics category under Medical Devices & Diagnostics.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/feetwings"
"Imrobonix Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","Imrobonix, as indicated by its name and BIRAC Medical Devices category, develops robotic surgical systems that align with the image-guided and robotic surgical systems project type under Medical Devices & Diagnostics.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/imrobonix"
"Inger Therapeutics Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Pharmaceuticals & Drug Development",,"register-label","Inger Therapeutics' BIRAC Biotechnology Ignition Grant award in the 'Drugs and related areas' category indicates development of pharmaceutical compounds requiring pre-clinical and clinical research.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/inger-therapeutics"
"Inovaugmet Research Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","2",,,"4","Pharmaceuticals & Drug Development",,"register-label","BIRAC's Biotechnology Ignition Grant in the 'Drugs and related areas' category indicates early-stage pharmaceutical research and development work typical of companies pursuing novel drug candidates.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/inovaugmet-research"
"NKure Therapeutics Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","3",,,"4","Pharmaceuticals & Drug Development",,"register-label","NKure Therapeutics received a BIRAC Biotechnology Ignition Grant in the drugs and related areas category, indicating active pharmaceutical R&D within the pre-clinical or clinical development pipeline.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/nkure-therapeutics"
"Scitechesy Research and Technology Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","11",,,"4","Synthetic Biology & Industrial Biotech",,"register-label","Scitechesy's BIRAC Ignition Grant in Industrial Biotechnology and Clean Energy aligns with synthetic biology approaches for sustainable production of chemicals and materials.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/scitechesy-research-and-technology"
"Spotdot Bioinnovations Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","As a BIRAC Biotechnology Ignition Grant awardee in the diagnostics category, Spotdot Bioinnovations is developing indigenous diagnostic solutions that align with point-of-care and rapid testing technologies.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/spotdot-bioinnovations"
"SunQulp Tech Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","SunQulp Tech is a BIRAC-funded medical devices company, and subsector 4.5 encompasses the full range of medical device innovation from diagnostics to wearables to implants; without access to their specific device type, wearable health monitors and implantable biosensors represents the most common category of deep-tech medical device development in India.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/sunqulp-tech"
"UR Advanced Therapeutics Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","",,,"4","Pharmaceuticals & Drug Development",,"register-label","BIRAC's Biotechnology Ignition Grant in the Drugs category indicates UR Advanced Therapeutics is engaged in pharmaceutical R&D development, which aligns with pre-clinical and clinical drug development work.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/ur-advanced-therapeutics"
"VeGen Labs LLP",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Pharmaceuticals & Drug Development",,"register-label","VeGen Labs received a BIRAC Biotechnology Ignition Grant in the Drugs and related areas category, indicating they are conducting pharmaceutical research and development work focused on drug discovery or development.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/vegen-labs"
"Xact Diagnotek Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","1",,,"4","Medical Devices & Diagnostics",,"register-label","Xact Diagnotek is a BIRAC-supported diagnostics company, and the indigenous diagnostic kits project type under Medical Devices & Diagnostics directly covers point-of-care and rapid diagnostic development.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/xact-diagnotek"
"Avinya NeuroTech Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","Avinya NeuroTech, as a neurotech company, most likely develops neural monitoring or brain-computer interface devices, which align with implantable biosensors and neural applications within medical devices.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/avinya-neurotech"
"Brainwaves Neurorehab Solutions Pvt Ltd",,"","BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","Brainwaves Neurorehab Solutions develops neurorehabilitation medical devices that enhance motor recovery and functional restoration, aligning with smart rehabilitation technologies under Medical Devices & Diagnostics.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/brainwaves-neurorehab-solutions"
"Canary Biosensors LLP",,"","BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","Canary Biosensors develops biosensor technology for diagnostics applications, which directly aligns with the biosensors project type under Medical Devices & Diagnostics, though their work may span into diagnostic kits depending on their specific platform.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/canary-biosensors"
"Intisen Technology Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","Intisen Technology is a BIRAC-funded medical devices company, placing it squarely in the Medical Devices & Diagnostics sub-sector, but without more specific information about their device type, we cannot confidently assign a single project type from the listed categories.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/intisen-technology"
"Mabgenex Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","3",,,"4","Pharmaceuticals & Drug Development",,"register-label","Mabgenex's BIRAC award in the Drugs and related areas category indicates pharmaceutical development work, most appropriately classified under pre-clinical and clinical pharmaceutical R&D.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/mabgenex"
"Nubiogenx Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","2",,,"4","Pharmaceuticals & Drug Development",,"register-label","Nubiogenx's BIRAC Biotechnology Ignition Grant award in the 'Drugs and related areas' category indicates pharmaceutical R&D work that fits squarely within 4.4's pre-clinical and clinical development focus.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/nubiogenx"
"Plabs Solutions Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","Plabs Solutions is a BIRAC-funded diagnostics company, and indigenous diagnostic kits are the primary project type under Medical Devices & Diagnostics that encompasses diagnostic development.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/plabs-solutions"
"Plotnew Bio Innovations Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","Plotnew Bio Innovations is a BIRAC Biotechnology Ignition Grant awardee in the diagnostics category, which aligns with developing indigenous diagnostic solutions for point-of-care and rapid testing applications.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/plotnew-bio-innovations"
"Serocode Biolabs Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Medical Devices & Diagnostics",,"register-label","Serocode Biolabs is a BIRAC-funded diagnostics company, and 4.5's focus on indigenous diagnostic kits (point-of-care, rapid, multiplexed) directly matches this category of work.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/serocode-biolabs"
"Xpredict Automation Solutions Private Limited",,"","BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",,,"yes","company",,"",,,"","","","","","","BIRAC","1","1","","","","","0",,,"4","Synthetic Biology & Industrial Biotech",,"register-label","Xpredict Automation Solutions, as an automation-focused company within industrial biotechnology, aligns with biodesign automation and AI-driven optimization of biological systems for clean energy and environmental applications.","C","1","2023-01-01","cohort","2023","2026-09-12","1","https://rohitrao.in/upstream/c/xpredict-automation-solutions"
"Stealthtech Research Labs Pvt Ltd",,"","Startup India profile, not DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","company",,"","profile","Prototype","","","","","","","","0","0","","","","","0","Hyderabad","Telangana","2","Advanced Materials",,"register-label","STEALTHTECH's nanotechnology focus aligns with the Advanced Materials sub-sector, which explicitly lists nanomaterials as a core project type; without more specific application details, the broad nanomaterials category best captures their work.","C","1","2023-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/stealthtech-research-labs"
"Reseapro Labs Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","1","Khordha","Odisha","2","Advanced Materials",,"register-label","RESEAPRO Labs is a nanotechnology startup that aligns with Advanced Materials' focus on nanomaterials and their applications, most likely in water treatment or environmental remediation based on their industry classification.","C","1","2023-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/reseapro-labs"
